"site.name","local.id","site.type","year","xcoord","ycoord","utm_zone","latitude","longitude","mean.coc","inv.cov","bryo.cov","strtol.cov","vmmi","vmmi.rating","vmmi.rating.orig","wetland","source"
"GRME01",218,"Intensive",2015,563119,4912595,"19N",44.363883845008,-68.2078691636101,3.88888888888889,0.1,31,80,49.7324697883665,"Fair","Poor","Great Meadow","FOA"
"GRME02",223,"Intensive",2015,563071,4913162,"19N",44.36899,-68.2084,3.38709677419355,0.1,1.6,103,35.2728145266164,"Poor","Poor","Great Meadow","FOA"
"GRME03",215,"Intensive",2015,562824,4912845,"19N",44.3661599775609,-68.211540817212,3.81481481481481,0.1,24.4,89,46.079405883815,"Fair","Poor","Great Meadow","FOA"
"GRME04",222,"Intensive",2015,562910,4912898,"19N",44.3666296324395,-68.2104551852359,3.52,5,10.4,132,31.840176629253,"Poor","Poor","Great Meadow","FOA"
"GRME05",219,"Intensive",2015,563200,4912819,"19N",44.3658932545905,-68.2068255161496,4,0,0,119,36.0037728167716,"Poor","Poor","Great Meadow","FOA"
"GRME06",221,"Intensive",2015,563011,4912923,"19N",44.3668459157113,-68.2091846880126,3.625,26,2,177,20.3299159457502,"Poor","Poor","Great Meadow","FOA"
"GRME07",217,"RAM",2015,563061,4912558,"19N",44.3635558135196,-68.2086014674007,3.86363636363636,0,32.5,85,49.1481537237332,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2015,563371,4912986,"19N",44.36738,-68.20466,3.52,0,0.25,175,27.7783026635668,"Poor","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2015,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.91176470588235,26,5.5,117,28.6478311990697,"Poor","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2015,563256,4912949,"19N",44.3670586406657,-68.2061069633001,3.84615384615385,0.1,0,120,34.8487896073178,"Poor","Poor","Great Meadow","FOA"
"GRME01",218,"Intensive",2020,563119,4912595,"19N",44.363883845008,-68.2078691636101,3.90909090909091,0.1,8.75,56,48.241964545726,"Fair","Poor","Great Meadow","FOA"
"GRME02",223,"Intensive",2020,563071,4913162,"19N",44.36899,-68.2084,3.62962962962963,0.1,1,130,32.0767148361265,"Poor","Poor","Great Meadow","FOA"
"GRME03",215,"Intensive",2020,562824,4912845,"19N",44.3661599775609,-68.211540817212,3.85714285714286,0.1,3.25,122,35.406477740141,"Poor","Poor","Great Meadow","FOA"
"GRME04",222,"Intensive",2020,562910,4912898,"19N",44.3666296324395,-68.2104551852359,3.72727272727273,0.1,5,103,38.2461326748311,"Poor","Poor","Great Meadow","FOA"
"GRME05",219,"Intensive",2020,563200,4912819,"19N",44.3658932545905,-68.2068255161496,4.13636363636364,0,0,59,46.9536178036367,"Fair","Poor","Great Meadow","FOA"
"GRME06",221,"Intensive",2020,563011,4912923,"19N",44.3668459157113,-68.2091846880126,3.80645161290323,5,11.75,88,41.3691672466913,"Poor","Poor","Great Meadow","FOA"
"GRME07",217,"RAM",2020,563061,4912558,"19N",44.3635558135196,-68.2086014674007,3.68181818181818,0.1,32.5,104,44.7884155393445,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2020,563371,4912986,"19N",44.36738,-68.20466,3.33342857142857,0.1,0.25,89,36.9545705309682,"Poor","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2020,562963,4912763,"19N",44.3654097530641,-68.2098064161728,4.13513513513514,5,5.5,45,49.0590860083733,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2020,563256,4912949,"19N",44.3670586406657,-68.2061069633001,4,0.1,0,63,45.401785512898,"Fair","Poor","Great Meadow","FOA"
"GRME01",218,"Intensive",2023,563119,4912595,"19N",44.363883845008,-68.2078691636101,3.55555555555556,0.1,6,85,40.4672601890866,"Poor","Poor","Great Meadow","FOA"
"GRME02",223,"Intensive",2023,563071,4913162,"19N",44.36899,-68.2084,3.81481481481481,0.1,0,120,34.6545149115004,"Poor","Poor","Great Meadow","FOA"
"GRME03",215,"Intensive",2023,562824,4912845,"19N",44.3661599775609,-68.211540817212,3.86206896551724,0.1,0,148,30.2320118464826,"Poor","Poor","Great Meadow","FOA"
"GRME04",222,"Intensive",2023,562910,4912898,"19N",44.3666296324395,-68.2104551852359,3.77142857142857,0.1,5.75,139,32.6478586371954,"Poor","Poor","Great Meadow","FOA"
"GRME05",219,"Intensive",2023,563200,4912819,"19N",44.3658932545905,-68.2068255161496,4.7,0,0,72,48.2583619597587,"Fair","Poor","Great Meadow","FOA"
"GRME06",221,"Intensive",2023,563011,4912923,"19N",44.3668459157113,-68.2091846880126,4,0.1,3.75,142,33.0510336631668,"Poor","Poor","Great Meadow","FOA"
"GRME07",217,"RAM",2023,563061,4912558,"19N",44.3635558135196,-68.2086014674007,3.63157894736842,0.1,20.75,97.5,42.5839395121925,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2023,563371,4912986,"19N",44.36738,-68.20466,3.65384615384615,0,0,67,42.6151618219609,"Fair","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2023,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.68965517241379,0.1,16.5,86,43.8000046750619,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2023,563256,4912949,"19N",44.3670586406657,-68.2061069633001,3.8,0,0,70,43.0159628967261,"Fair","Poor","Great Meadow","FOA"
"GIME03",224,"RAM",2024,558085,4912280,"19N",44.3614687783234,-68.2710747204677,4.1787037037037,0,60,59,62.4723873893923,"Good","Fair","Gilmore Meadow","FOA"
"GIME03",224,"RAM",2025,558085,4912280,"19N",44.3614687783234,-68.2710747204677,4.01209677419355,0,70,61.3,63.5949463740256,"Good","Fair","Gilmore Meadow","FOA"
"GIME07",225,"RAM",2024,558056,4912311,"19N",44.3617501685242,-68.2714351618667,4.26315789473684,0,40,47,59.931398969898,"Fair","Fair","Gilmore Meadow","FOA"
"GIME07",225,"RAM",2025,558056,4912311,"19N",44.3617501685242,-68.2714351618667,4.30612244897959,0,50,38.8,64.1214077165434,"Good","Fair","Gilmore Meadow","FOA"
"GRME01",218,"Intensive",2024,563119,4912595,"19N",44.363883845008,-68.2078691636101,4.19230769230769,0,30,88.2,50.0110434218307,"Fair","Poor","Great Meadow","FOA"
"GRME01",218,"Intensive",2025,563119,4912595,"19N",44.363883845008,-68.2078691636101,4.06583333333333,0.1,15,67.8,48.8156086085921,"Fair","Poor","Great Meadow","FOA"
"GRME02",223,"Intensive",2024,563071,4913162,"19N",44.36899,-68.2084,3.74821428571429,1,0,86.2,39.6380932938452,"Poor","Poor","Great Meadow","FOA"
"GRME02",223,"Intensive",2025,563071,4913162,"19N",44.36899,-68.2084,3.41424242424242,2,0.1,163.6,26.4273054851905,"Poor","Poor","Great Meadow","FOA"
"GRME03",215,"Intensive",2024,562824,4912845,"19N",44.3661599775609,-68.211540817212,3.83921568627451,0.1,15,115.2,39.428214309931,"Poor","Poor","Great Meadow","FOA"
"GRME03",215,"Intensive",2025,562824,4912845,"19N",44.3661599775609,-68.211540817212,3.87719298245614,4,25,129.2,38.5669973958045,"Poor","Poor","Great Meadow","FOA"
"GRME04",222,"Intensive",2024,562910,4912898,"19N",44.3666296324395,-68.2104551852359,3.97916666666667,0.1,35,115.2,45.3812211644201,"Fair","Poor","Great Meadow","FOA"
"GRME04",222,"Intensive",2025,562910,4912898,"19N",44.3666296324395,-68.2104551852359,3.86666666666667,0.1,65,152.1,46.3585597583836,"Fair","Poor","Great Meadow","FOA"
"GRME05",219,"Intensive",2024,563200,4912819,"19N",44.3658932545905,-68.2068255161496,4.13461538461539,0,0,15.1,54.3359127476247,"Fair","Fair","Great Meadow","FOA"
"GRME05",219,"Intensive",2025,563200,4912819,"19N",44.3658932545905,-68.2068255161496,4.23,0,0,28.4,52.6873813984375,"Fair","Poor","Great Meadow","FOA"
"GRME06",221,"Intensive",2024,563011,4912923,"19N",44.3668459157113,-68.2091846880126,3.91428571428571,5,55,145.3,43.3850866129129,"Fair","Poor","Great Meadow","FOA"
"GRME06",221,"Intensive",2025,563011,4912923,"19N",44.3668459157113,-68.2091846880126,4.02857142857143,5,60,105.2,52.1180969925764,"Fair","Poor","Great Meadow","FOA"
"GRME07",217,"RAM",2024,563061,4912558,"19N",44.3635558135196,-68.2086014674007,4.01785714285714,0.1,60,103,54.0324428107564,"Fair","Fair","Great Meadow","FOA"
"GRME07",217,"RAM",2025,563061,4912558,"19N",44.3635558135196,-68.2086014674007,3.68478260869565,0.1,45,82.8,51.555447756414,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2024,563371,4912986,"19N",44.36738,-68.20466,3.2071875,0.1,0.1,32.5,45.6489246267223,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2025,563371,4912986,"19N",44.36738,-68.20466,3.76627906976744,0.1,0,45.7,46.866386158862,"Fair","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2024,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.78847826086957,3,35,119.1,42.5893112524628,"Fair","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2025,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.97872340425532,2,17,105.7,41.7770755293413,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2024,563256,4912949,"19N",44.3670586406657,-68.2061069633001,4,0,0,77,43.0769292733335,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2025,563256,4912949,"19N",44.3670586406657,-68.2061069633001,4.20789473684211,0,0,22.3,53.5776397931584,"Fair","Fair","Great Meadow","FOA"
"R-04",213,"RAM",2012,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.15294117647059,1,1,92.2,35.19173925277,"Poor","Poor","Great Meadow","NETN"
"R-04",213,"RAM",2017,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.39555555555556,1,1,111.1,33.5128166635784,"Poor","Poor","Great Meadow","NETN"
"R-04",213,"RAM",2022,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.17,0.1,1,112.2,32.225082571611,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2013,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,3.10322580645161,1,0.1,143.3,26.0490291046532,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2018,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,2.95952380952381,0.1,0.1,141.4,26.0302516027289,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2023,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,2.83280701754386,0.1,0.1,155.6,24.4891455376337,"Poor","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2013,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,3.96521739130435,0,0,121.3,35.4008114206992,"Poor","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2018,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,4.13392857142857,0.1,0,78.3,43.6553761425842,"Fair","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2023,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,4.56521739130435,0,0,64.2,48.7364133899853,"Fair","Poor","Great Meadow","NETN"
"R-31",175,"RAM",2015,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.26341463414634,0,10,10.2,58.5022738297424,"Fair","Fair","Gilmore Meadow","NETN"
"R-31",175,"RAM",2020,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.05405405405405,0,12,3.4,58.858141581183,"Fair","Fair","Gilmore Meadow","NETN"
"R-31",175,"RAM",2025,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.08333333333333,0,16,12,58.60842115632,"Fair","Fair","Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2011,558039,4912418,"19N",44.36275,-68.27162,4.42,0,1.26,3.9,57.38588409,"Fair",NA,"Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2016,558039,4912418,"19N",44.36275,-68.27162,4.565217391,0,2.44,5.4,58.2417572,"Fair",NA,"Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2021,558039,4912418,"19N",44.36275,-68.27162,4.466666667,0,8.42,11.12,58.14050713,"Fair",NA,"Gilmore Meadow","NETN"
